,date,title_tagged
0,2016-03-02,"['무제한', '토론', '끝', '테러', '방지법', '등', '처리']"
1,2016-03-02,"['야권', '통합', '국민', '당', '경계', '與', '비판']"
2,2016-03-02,"['박지원', '동교동', '국민', '당', '합류']"
3,2016-03-03,"['선거법', '지각', '통과', '총선', '준비', '잰걸음']"
4,2016-03-03,"['與', '공천', '일정', '신경전']"
5,2016-03-03,"['야권', '통합', '金', '安', '정면충돌']"
6,2016-03-04,"['친', '박', '김태환', '탈락', '물갈이', '신호탄']"
7,2016-03-04,"['야권', '통합', '의총', '국민', '당', '기로']"
8,2016-03-04,"['이해관계', '통합', '찬반']"
9,2016-03-05,"['야권', '통합', '거부', '총선', '구도', '일', '다야']"
10,2016-03-05,"['여', '현역', '물갈이', '신호탄', '당', '분위기', '긴장']"
11,2016-03-06,"['김무성', '최경환', '면접', '반발', '여진']"
12,2016-03-06,"['安', '독자', '노선', '확인', '자제력', '상실']"
13,2016-03-07,"['김무성', '이한구', '신경전', '차', '심사', '통과']"
14,2016-03-07,"['安', '金', '정면', '충돌', '야권', '통합', '후폭풍']"
15,2016-03-09,"['윤상현', '막말', '파문', '컷오프', '내일', '발표']"
16,2016-03-10,"['계파', '갈등', '與', '공천', '파행', '위기']"
17,2016-03-10,"['정청래', '등', '명', '노', '청산', '부족']"
18,2016-03-11,"['與', '갈등', '봉합', '차', '공천', '발표']"
19,2016-03-11,"['전병헌', '오영식', '탈락', '김한길', '사퇴']"
20,2016-03-12,"['여', '차', '공천', '발표', '현역', '의원', '명', '탈락']"
21,2016-03-12,"['탈당', '생각', '공천', '반발']"
22,2016-03-13,"['후보', '공약', '선거', '유권자', '혼란']"
23,2016-03-13,"['흑색선전', '여론', '조작', '배', '급증', '혼탁', '조짐']"
24,2016-03-13,"['김무성', '지역구', '파전', '與', '경선', '현역', '우세']"
25,2016-03-13,"['민주', '이해찬', '용퇴', '논의', '安', '연대']"
26,2016-03-14,"['대구', '현역', '명', '유승민', '내일', '결론']"
27,2016-03-14,"['친', '노', '좌장', '이해찬', '등', '현역', '명', '배제']"
28,2016-03-14,"['지도부', '전원', '공천', '야권', '연대', '내일', '담판']"
29,2016-03-14,"['말', '공천', '개혁', '물갈이', '지지부진']"
30,2016-03-14,"['여야', '계파', '갈등', '절정', '정책', '비전', '실종']"
31,2016-03-15,"['윤상현', '배제', '이재오', '탈락', '유승민', '보류']"
32,2016-03-15,"['이해찬', '탈당', '천정배', '당무', '복귀']"
33,2016-03-16,"['공천', '제동', '반박', '김무성', '이한구', '충돌']"
34,2016-03-16,"['석', '실패', '시', '책임', '청년', '비례', '중단']"
35,2016-03-16,"['정호준', '합류', '국민', '당', '교섭단체', '달성']"
36,2016-03-16,"['종로', '잠룡', '대결', '서대', '문갑', '번', '격돌']"
37,2016-03-17,"['與', '계파', '갈등', '최고', '조', '공', '천', '회', '파행']"
38,2016-03-17,"['공천', '후폭풍', '교섭단체', '등록']"
39,2016-03-17,"['공천', '갈등', '격화', '탈당', '소속', '출마']"
40,2016-03-17,"['영등포', '성북', '갑', '설욕전', '굳히기']"
41,2016-03-18,"['최고위', '진통', '갈등', '봉합', '투명']"
42,2016-03-18,"['유승민', '공천', '난항', '발표', '지연', '이유']"
43,2016-03-18,"['마포', '손혜원', '공천', '진영', '영입', '추진']"
44,2016-03-18,"['교섭단체', '등록', '억', '원', '지원']"
45,2016-03-18,"['소속', '출마', '수도', '변수']"
46,2016-03-18,"['수백', '표', '차이', '희비', '접전', '재격돌']"
47,2016-03-20,"['초갑', '이혜훈', '공천', '조윤선', '탈락']"
48,2016-03-20,"['공', '관위', '유승민', '수']"
49,2016-03-20,"['김종인', '비례', '번', '셀프', '공천', '논란']"
50,2016-03-20,"['진영', '민주', '입당', '소신', '철새']"
51,2016-03-20,"['강봉균', '김종인', '경제', '해법', '시각', '차']"
52,2016-03-20,"['與', '비박', '몰락', '野', '문재', '인계', '강화']"
53,2016-03-22,"['고민', '시간', '金', '사퇴', '배수진']"
54,2016-03-22,"['당무', '복귀', '입장', '보류', '온종일', '긴박']"
55,2016-03-22,"['金', '대표', '파격', '행보', '노', '주류']"
56,2016-03-22,"['유승민', '진박', '공천', '연계', '결론', '연기']"
57,2016-03-22,"['정체', '논란', '공천', '발표', '갈등', '증폭']"
58,2016-03-22,"['여성', '전문가', '번', '與', '비례', '대표', '발표']"
59,2016-03-23,"['공천', '격론', '유승민', '오늘', '중', '입장', '표명']"
60,2016-03-23,"['김종인', '당무', '복귀', '갈등', '봉합']"
61,2016-03-23,"['비례', '번', '과학자', '공천', '후폭풍', '계속']"
62,2016-03-23,"['총선', '전략', '가늠자', '여야', '비례', '대표', '분석']"
63,2016-03-23,"['대진표', '윤곽', '서울', '표', '어디']"
64,2016-03-23,"['재격돌', '서대', '문갑', '영등', '포갑', '표']"
65,2016-03-23,"['갈등', '탈당', '최악', '공천']"
66,2016-03-24,"['김무성', '옥새', '투쟁', '與', '공천', '갈등', '국면']"
67,2016-03-24,"['당', '대표', '반란', '명', '출마', '수']"
68,2016-03-24,"['총선', '필승', '다짐', '공천', '갈등', '여전']"
69,2016-03-24,"['창당', '마무리', '다음', '주', '선거', '체제', '돌입']"
70,2016-03-24,"['야당', '심판', '정권', '심판', '맞불']"
71,2016-03-24,"['與', '소속', '연대', '野', '다자', '구도', '변수']"
72,2016-03-24,"['총선', '영남', '수원', '인천', '표']"
73,2016-03-24,"['민주', '국민', '당', '호남', '승부', '양보']"
74,2016-03-25,"['유승민', '등', '곳', '무공', '천', '갈등', '봉합']"
75,2016-03-25,"['시간', '전', '긴박', '공천', '마무리']"
76,2016-03-25,"['봉합', '불신', '골', '여전']"
77,2016-03-25,"['유승민', '이재오', '진박', '명', '운명']"
78,2016-03-25,"['계파', '싸움', '속', '원칙', '실종', '최악', '공천']"
79,2016-03-25,"['김무성', '전면전', '강행', '이유']"
80,2016-03-25,"['朴', '金', '애증', '년']"
81,2016-03-25,"['야권', '선거', '체제', '전환', '지원', '시동']"
82,2016-03-25,"['文', '선거', '전면', '등장', '金', '정체', '이견']"
83,2016-03-25,"['후보', '선거구', '분석']"
84,2016-03-26,"['여야', '선대위', '전환', '총선', '체제', '돌입']"
85,2016-03-26,"['옥새', '투쟁', '김무성', '탈당', '유승민', '득실']"
86,2016-03-26,"['민주', '개별', '연대', '권장', '국민']"
87,2016-03-26,"['후보', '전과자', '대', '총선', '배']"
88,2016-03-27,"['선대위', '출범', '옥새', '파동', '후폭풍', '여전']"
89,2016-03-27,"['이틀', '호남', '행보', '패권주의', '회귀']"
90,2016-03-27,"['安', '야권', '연대', '일축', '석', '이상', '목표']"
91,2016-03-27,"['저출산', '육아', '당', '핵심', '공약', '내용']"
92,2016-03-28,"['선대위', '출범', '갈등', '총선', '승리']"
93,2016-03-28,"['경제', '심판', '전면', '연대', '강조']"
94,2016-03-28,"['다당제', '시대', '열', '것', '야권', '연대', '언급']"
