,date,title_tagged
0,2016-03-02,"['위반', '차량', '암행', '단속', '시작']"
1,2016-03-02,"['제주', '어선', '부산', '낚싯배', '침몰']"
2,2016-03-02,"['취객', '척', '출근', '집', '털']"
3,2016-03-02,"['김정은', '찬양', '등장', '北', '체제', '결속', '고삐']"
4,2016-03-02,"['새벽', '안보리', '표결', '만장일치']"
5,2016-03-02,"['日', '위안부', '합의', '실천', '국회', '비판']"
6,2016-03-02,"['북한', '핵', '포기', '것']"
7,2016-03-02,"['뉴스라인', '헤드라인']"
8,2016-03-02,"['원양어', '선', '남극', '크릴', '자원', '량', '조사']"
9,2016-03-02,"['행복', '주택', '공급', '본격', '올해', '만', '천', '가구', '모집']"
10,2016-03-02,"['부산', '금정구', '식당', '화재', '만', '원', '피해']"
11,2016-03-02,"['브라질', '경찰', '수사', '비협조', '페이스북', '임원', '체포']"
12,2016-03-02,"['과테말라', '전', '축구', '협회', '장', '미국', '추방']"
13,2016-03-02,"['안산', '대부도', '주택', '대', '여성']"
14,2016-03-02,"['빈라덴', '유언', '사재', '억', '원', '지하드', '알라']"
15,2016-03-02,"['프랑스', '칼레', '난민촌', '이틀', '철거', '난민', '저항']"
16,2016-03-02,"['외무부', '반', '총장', '미', '대사', '등', '대북', '결의안', '논의']"
17,2016-03-02,"['트럼프', '본선', '경쟁력', '취약']"
18,2016-03-02,"['남서풍', '낮', '기온', '도', '안팎']"
19,2016-03-02,"['강원', '영월', '노인', '요양원', '명', '대피', '소동']"
20,2016-03-02,"['美', '공화', '인자', '편견', '단체', '거부', '트럼프', '공개', '경고']"
21,2016-03-02,"['국제', '유가', '가격', '회복', '산', '유량', '동결', '기대', '상승']"
22,2016-03-02,"['요구', '안보리', '결의안', '수정', '北', '민항', '기', '해외', '급유', '허용']"
23,2016-03-02,"['김현수', '메이저', '리그', '시범', '경기', '타수', '무안타']"
24,2016-03-02,"['시범', '경기', '주목', '신인', '야수', '김현수', '위', '박병호', '위']"
25,2016-03-02,"['쌍방', '보복', '운전', '혐의', '명', '입건']"
26,2016-03-02,"['헌재', '대통령', '비하', '상관', '모욕죄', '규정', '군형법', '합헌']"
27,2016-03-02,"['법원', '트럼프', '사기', '소송', '계속', '트럼프', '기각', '신청', '거부']"
28,2016-03-02,"['힐러리', '클린턴', '논란', '트럼프', '실망']"
29,2016-03-02,"['이청용', '결장', '팰리스', '선덜랜드', '무승부']"
30,2016-03-02,"['뉴욕', '증시', '경제', '지표', '호조', '강세', '다우', '상승', '마감']"
